sample_id,repo_slug,PrimaryCategory,Category,CategorySet,Project URL,SHA Detected,Module Path,Fully-Qualified Test Name (packageName.ClassName.methodName),test_class,test_simple_class,test_method,maven_test_selector,pipeline_status,pipeline_failure_class,remote_repo_dir,remote_module_dir,validated_module_path,validated_test_identifier,validated_maven_test_selector,validation_log_path,validation_elapsed_seconds,IsCompositeCategory,pipeline_updated_at,test_file_candidates_json,test_file_found,validation_command,validation_ok,validation_returncode,validation_stage,validation_timed_out
apache__shardingsphere-elasticjob__02ed2562186d,apache/shardingsphere-elasticjob,NIO,NIO,"[""NIO""]",https://github.com/apache/shardingsphere-elasticjob,b022898ef1b8c984e17efb2a422ee45f6b13e46e,elastic-job-lite-core,io.elasticjob.lite.event.rdb.JobEventRdbStorageTest.assertAddJobStatusTraceEventWhenFailoverWithTaskStagingState,io.elasticjob.lite.event.rdb.JobEventRdbStorageTest,JobEventRdbStorageTest,assertAddJobStatusTraceEventWhenFailoverWithTaskStagingState,JobEventRdbStorageTest#assertAddJobStatusTraceEventWhenFailoverWithTaskStagingState,verified_feasible,,data/worktrees/idoft/apache__shardingsphere-elasticjob__02ed2562186d/repo,data/worktrees/idoft/apache__shardingsphere-elasticjob__02ed2562186d/repo/elastic-job-lite-core,elastic-job-lite-core,io.elasticjob.lite.event.rdb.JobEventRdbStorageTest.assertAddJobStatusTraceEventWhenFailoverWithTaskStagingState,JobEventRdbStorageTest#assertAddJobStatusTraceEventWhenFailoverWithTaskStagingState,runs/logs/build_smoke_pipeline/apache__shardingsphere-elasticjob__02ed2562186d.log,21.59,false,2026-05-26T16:28:57.836451+00:00,"[""data/worktrees/idoft/apache__shardingsphere-elasticjob__02ed2562186d/repo/elastic-job-lite-core/src/test/java/io/elasticjob/lite/event/rdb/JobEventRdbStorageTest.java""]",True,$PROJECT_DIR/tools/apache-maven-3.8.8/bin/mvn -q -DskipITs -DskipIT -DskipCheckstyle -Dcheckstyle.skip -Drat.skip=true -Dlicense.skip=true -DskipTests=false -Dtest=JobEventRdbStorageTest#assertAddJobStatusTraceEventWhenFailoverWithTaskStagingState test,True,0,build,False
apache__shardingsphere-elasticjob__4c64eccb9bfc,apache/shardingsphere-elasticjob,NIO,NIO,"[""NIO""]",https://github.com/apache/shardingsphere-elasticjob,b022898ef1b8c984e17efb2a422ee45f6b13e46e,elastic-job-lite-core,io.elasticjob.lite.util.json.GsonFactoryTest.assertRegisterTypeAdapter,io.elasticjob.lite.util.json.GsonFactoryTest,GsonFactoryTest,assertRegisterTypeAdapter,GsonFactoryTest#assertRegisterTypeAdapter,verified_feasible,,data/worktrees/idoft/apache__shardingsphere-elasticjob__4c64eccb9bfc/repo,data/worktrees/idoft/apache__shardingsphere-elasticjob__4c64eccb9bfc/repo/elastic-job-lite-core,elastic-job-lite-core,io.elasticjob.lite.util.json.GsonFactoryTest.assertRegisterTypeAdapter,GsonFactoryTest#assertRegisterTypeAdapter,runs/logs/build_smoke_pipeline/apache__shardingsphere-elasticjob__4c64eccb9bfc.log,5.69,false,2026-05-26T16:29:09.298319+00:00,"[""data/worktrees/idoft/apache__shardingsphere-elasticjob__4c64eccb9bfc/repo/elastic-job-lite-core/src/test/java/io/elasticjob/lite/util/json/GsonFactoryTest.java""]",True,$PROJECT_DIR/tools/apache-maven-3.8.8/bin/mvn -q -DskipITs -DskipIT -DskipCheckstyle -Dcheckstyle.skip -Drat.skip=true -Dlicense.skip=true -DskipTests=false -Dtest=GsonFactoryTest#assertRegisterTypeAdapter test,True,0,build,False
apache__shardingsphere-elasticjob__8349c7fa80be,apache/shardingsphere-elasticjob,NIO,NIO,"[""NIO""]",https://github.com/apache/shardingsphere-elasticjob,b022898ef1b8c984e17efb2a422ee45f6b13e46e,elastic-job-lite-core,io.elasticjob.lite.event.rdb.JobEventRdbStorageTest.assertAddJobStatusTraceEventWhenFailoverWithTaskFailedState,io.elasticjob.lite.event.rdb.JobEventRdbStorageTest,JobEventRdbStorageTest,assertAddJobStatusTraceEventWhenFailoverWithTaskFailedState,JobEventRdbStorageTest#assertAddJobStatusTraceEventWhenFailoverWithTaskFailedState,verified_feasible,,data/worktrees/idoft/apache__shardingsphere-elasticjob__8349c7fa80be/repo,data/worktrees/idoft/apache__shardingsphere-elasticjob__8349c7fa80be/repo/elastic-job-lite-core,elastic-job-lite-core,io.elasticjob.lite.event.rdb.JobEventRdbStorageTest.assertAddJobStatusTraceEventWhenFailoverWithTaskFailedState,JobEventRdbStorageTest#assertAddJobStatusTraceEventWhenFailoverWithTaskFailedState,runs/logs/build_smoke_pipeline/apache__shardingsphere-elasticjob__8349c7fa80be.log,5.9,false,2026-05-26T16:29:20.969863+00:00,"[""data/worktrees/idoft/apache__shardingsphere-elasticjob__8349c7fa80be/repo/elastic-job-lite-core/src/test/java/io/elasticjob/lite/event/rdb/JobEventRdbStorageTest.java""]",True,$PROJECT_DIR/tools/apache-maven-3.8.8/bin/mvn -q -DskipITs -DskipIT -DskipCheckstyle -Dcheckstyle.skip -Drat.skip=true -Dlicense.skip=true -DskipTests=false -Dtest=JobEventRdbStorageTest#assertAddJobStatusTraceEventWhenFailoverWithTaskFailedState test,True,0,build,False
apache__shardingsphere-elasticjob__a2fdd4fc3cf9,apache/shardingsphere-elasticjob,NIO,NIO,"[""NIO""]",https://github.com/apache/shardingsphere-elasticjob,b022898ef1b8c984e17efb2a422ee45f6b13e46e,elastic-job-lite-core,io.elasticjob.lite.reg.zookeeper.ZookeeperRegistryCenterModifyTest.assertPersistSequential,io.elasticjob.lite.reg.zookeeper.ZookeeperRegistryCenterModifyTest,ZookeeperRegistryCenterModifyTest,assertPersistSequential,ZookeeperRegistryCenterModifyTest#assertPersistSequential,verified_feasible,,data/worktrees/idoft/apache__shardingsphere-elasticjob__a2fdd4fc3cf9/repo,data/worktrees/idoft/apache__shardingsphere-elasticjob__a2fdd4fc3cf9/repo/elastic-job-lite-core,elastic-job-lite-core,io.elasticjob.lite.reg.zookeeper.ZookeeperRegistryCenterModifyTest.assertPersistSequential,ZookeeperRegistryCenterModifyTest#assertPersistSequential,runs/logs/build_smoke_pipeline/apache__shardingsphere-elasticjob__a2fdd4fc3cf9.log,7.65,false,2026-05-26T16:29:34.192819+00:00,"[""data/worktrees/idoft/apache__shardingsphere-elasticjob__a2fdd4fc3cf9/repo/elastic-job-lite-core/src/test/java/io/elasticjob/lite/reg/zookeeper/ZookeeperRegistryCenterModifyTest.java""]",True,$PROJECT_DIR/tools/apache-maven-3.8.8/bin/mvn -q -DskipITs -DskipIT -DskipCheckstyle -Dcheckstyle.skip -Drat.skip=true -Dlicense.skip=true -DskipTests=false -Dtest=ZookeeperRegistryCenterModifyTest#assertPersistSequential test,True,0,build,False
pholser__junit-quickcheck__0163195790c4,pholser/junit-quickcheck,NIO,NIO,"[""NIO""]",https://github.com/pholser/junit-quickcheck,9361b6dae25b193782604d071754eb7fc566390a,core,com.pholser.junit.quickcheck.SamplingButAlsoIncludingAGivenSetTest.wrapperChars,com.pholser.junit.quickcheck.SamplingButAlsoIncludingAGivenSetTest,SamplingButAlsoIncludingAGivenSetTest,wrapperChars,SamplingButAlsoIncludingAGivenSetTest#wrapperChars,verified_feasible,,data/worktrees/idoft/pholser__junit-quickcheck__0163195790c4/repo,data/worktrees/idoft/pholser__junit-quickcheck__0163195790c4/repo/core,core,com.pholser.junit.quickcheck.SamplingButAlsoIncludingAGivenSetTest.wrapperChars,SamplingButAlsoIncludingAGivenSetTest#wrapperChars,runs/logs/build_smoke_pipeline/pholser__junit-quickcheck__0163195790c4.log,20.71,false,2026-05-26T16:30:39.114021+00:00,"[""data/worktrees/idoft/pholser__junit-quickcheck__0163195790c4/repo/core/src/test/java/com/pholser/junit/quickcheck/SamplingButAlsoIncludingAGivenSetTest.java""]",True,$PROJECT_DIR/tools/apache-maven-3.8.8/bin/mvn -q -DskipITs -DskipIT -DskipCheckstyle -Dcheckstyle.skip -Drat.skip=true -Dlicense.skip=true -DskipTests=false -Dtest=SamplingButAlsoIncludingAGivenSetTest#wrapperChars test,True,0,build,False
pholser__junit-quickcheck__035d0366bf92,pholser/junit-quickcheck,NIO,NIO,"[""NIO""]",https://github.com/pholser/junit-quickcheck,9361b6dae25b193782604d071754eb7fc566390a,core,com.pholser.junit.quickcheck.ExhaustingAGivenSetTest.wrapperDoubles,com.pholser.junit.quickcheck.ExhaustingAGivenSetTest,ExhaustingAGivenSetTest,wrapperDoubles,ExhaustingAGivenSetTest#wrapperDoubles,verified_feasible,,data/worktrees/idoft/pholser__junit-quickcheck__035d0366bf92/repo,data/worktrees/idoft/pholser__junit-quickcheck__035d0366bf92/repo/core,core,com.pholser.junit.quickcheck.ExhaustingAGivenSetTest.wrapperDoubles,ExhaustingAGivenSetTest#wrapperDoubles,runs/logs/build_smoke_pipeline/pholser__junit-quickcheck__035d0366bf92.log,8.83,false,2026-05-27T03:54:02.021438+00:00,"[""data/worktrees/idoft/pholser__junit-quickcheck__035d0366bf92/repo/core/src/test/java/com/pholser/junit/quickcheck/ExhaustingAGivenSetTest.java""]",True,$PROJECT_DIR/tools/apache-maven-3.8.8/bin/mvn -q -DskipITs -DskipIT -DskipCheckstyle -Dcheckstyle.skip -Drat.skip=true -Dlicense.skip=true -DskipTests=false -Dtest=ExhaustingAGivenSetTest#wrapperDoubles test,True,0,build,False
pholser__junit-quickcheck__03c93a5083fe,pholser/junit-quickcheck,NIO,NIO,"[""NIO""]",https://github.com/pholser/junit-quickcheck,9361b6dae25b193782604d071754eb7fc566390a,core,com.pholser.junit.quickcheck.PropertiesWithExplicitGeneratorsTest.explicitGeneratorTakesPrecedence,com.pholser.junit.quickcheck.PropertiesWithExplicitGeneratorsTest,PropertiesWithExplicitGeneratorsTest,explicitGeneratorTakesPrecedence,PropertiesWithExplicitGeneratorsTest#explicitGeneratorTakesPrecedence,verified_feasible,,data/worktrees/idoft/pholser__junit-quickcheck__03c93a5083fe/repo,data/worktrees/idoft/pholser__junit-quickcheck__03c93a5083fe/repo/core,core,com.pholser.junit.quickcheck.PropertiesWithExplicitGeneratorsTest.explicitGeneratorTakesPrecedence,PropertiesWithExplicitGeneratorsTest#explicitGeneratorTakesPrecedence,runs/logs/build_smoke_pipeline/pholser__junit-quickcheck__03c93a5083fe.log,9.32,false,2026-05-27T03:57:13.810155+00:00,"[""data/worktrees/idoft/pholser__junit-quickcheck__03c93a5083fe/repo/core/src/test/java/com/pholser/junit/quickcheck/PropertiesWithExplicitGeneratorsTest.java""]",True,$PROJECT_DIR/tools/apache-maven-3.8.8/bin/mvn -q -DskipITs -DskipIT -DskipCheckstyle -Dcheckstyle.skip -Drat.skip=true -Dlicense.skip=true -DskipTests=false -Dtest=PropertiesWithExplicitGeneratorsTest#explicitGeneratorTakesPrecedence test,True,0,build,False
pholser__junit-quickcheck__05734bfb54ef,pholser/junit-quickcheck,NIO,NIO,"[""NIO""]",https://github.com/pholser/junit-quickcheck,9361b6dae25b193782604d071754eb7fc566390a,core,com.pholser.junit.quickcheck.SamplingButAlsoIncludingAGivenSetTest.primitiveIntegers,com.pholser.junit.quickcheck.SamplingButAlsoIncludingAGivenSetTest,SamplingButAlsoIncludingAGivenSetTest,primitiveIntegers,SamplingButAlsoIncludingAGivenSetTest#primitiveIntegers,verified_feasible,,data/worktrees/idoft/pholser__junit-quickcheck__05734bfb54ef/repo,data/worktrees/idoft/pholser__junit-quickcheck__05734bfb54ef/repo/core,core,com.pholser.junit.quickcheck.SamplingButAlsoIncludingAGivenSetTest.primitiveIntegers,SamplingButAlsoIncludingAGivenSetTest#primitiveIntegers,runs/logs/build_smoke_pipeline/pholser__junit-quickcheck__05734bfb54ef.log,8.91,false,2026-05-27T04:03:10.181286+00:00,"[""data/worktrees/idoft/pholser__junit-quickcheck__05734bfb54ef/repo/core/src/test/java/com/pholser/junit/quickcheck/SamplingButAlsoIncludingAGivenSetTest.java""]",True,$PROJECT_DIR/tools/apache-maven-3.8.8/bin/mvn -q -DskipITs -DskipIT -DskipCheckstyle -Dcheckstyle.skip -Drat.skip=true -Dlicense.skip=true -DskipTests=false -Dtest=SamplingButAlsoIncludingAGivenSetTest#primitiveIntegers test,True,0,build,False
pholser__junit-quickcheck__05bb2efa65ec,pholser/junit-quickcheck,NIO,NIO,"[""NIO""]",https://github.com/pholser/junit-quickcheck,9361b6dae25b193782604d071754eb7fc566390a,core,com.pholser.junit.quickcheck.SamplingOnlyFromAGivenSetTest.primitiveLongs,com.pholser.junit.quickcheck.SamplingOnlyFromAGivenSetTest,SamplingOnlyFromAGivenSetTest,primitiveLongs,SamplingOnlyFromAGivenSetTest#primitiveLongs,verified_feasible,,data/worktrees/idoft/pholser__junit-quickcheck__05bb2efa65ec/repo,data/worktrees/idoft/pholser__junit-quickcheck__05bb2efa65ec/repo/core,core,com.pholser.junit.quickcheck.SamplingOnlyFromAGivenSetTest.primitiveLongs,SamplingOnlyFromAGivenSetTest#primitiveLongs,runs/logs/build_smoke_pipeline/pholser__junit-quickcheck__05bb2efa65ec.log,9.19,false,2026-05-27T04:08:41.115602+00:00,"[""data/worktrees/idoft/pholser__junit-quickcheck__05bb2efa65ec/repo/core/src/test/java/com/pholser/junit/quickcheck/SamplingOnlyFromAGivenSetTest.java""]",True,$PROJECT_DIR/tools/apache-maven-3.8.8/bin/mvn -q -DskipITs -DskipIT -DskipCheckstyle -Dcheckstyle.skip -Drat.skip=true -Dlicense.skip=true -DskipTests=false -Dtest=SamplingOnlyFromAGivenSetTest#primitiveLongs test,True,0,build,False
pholser__junit-quickcheck__092f81d07742,pholser/junit-quickcheck,NIO,NIO,"[""NIO""]",https://github.com/pholser/junit-quickcheck,9361b6dae25b193782604d071754eb7fc566390a,core,com.pholser.junit.quickcheck.SamplingOnlyFromAGivenSetTest.strings,com.pholser.junit.quickcheck.SamplingOnlyFromAGivenSetTest,SamplingOnlyFromAGivenSetTest,strings,SamplingOnlyFromAGivenSetTest#strings,verified_feasible,,data/worktrees/idoft/pholser__junit-quickcheck__092f81d07742/repo,data/worktrees/idoft/pholser__junit-quickcheck__092f81d07742/repo/core,core,com.pholser.junit.quickcheck.SamplingOnlyFromAGivenSetTest.strings,SamplingOnlyFromAGivenSetTest#strings,runs/logs/build_smoke_pipeline/pholser__junit-quickcheck__092f81d07742.log,8.86,false,2026-05-26T16:30:53.543989+00:00,"[""data/worktrees/idoft/pholser__junit-quickcheck__092f81d07742/repo/core/src/test/java/com/pholser/junit/quickcheck/SamplingOnlyFromAGivenSetTest.java""]",True,$PROJECT_DIR/tools/apache-maven-3.8.8/bin/mvn -q -DskipITs -DskipIT -DskipCheckstyle -Dcheckstyle.skip -Drat.skip=true -Dlicense.skip=true -DskipTests=false -Dtest=SamplingOnlyFromAGivenSetTest#strings test,True,0,build,False
